iris_code,rf_score
951970108,64.7
913860103,73.0
751093603,43.2
913860105,40.0
915490103,38.0
940670102,80.2
915210105,58.5
915210106,55.5
915210109,15.6
915210110,68.2
915210111,27.6
915520101,57.0
915890105,37.5
915890106,46.8
751197516,88.5
915890107,38.8
915890109,38.5
915890110,59.1
915890111,39.2
940171302,50.1
940810304,76.9
940810306,80.0
940810308,59.2
940810309,70.1
940810310,73.8
940020104,73.1
940810311,73.0
940810312,79.8
940171303,51.0
940171304,44.5
940171401,68.6
940180102,80.1
940180106,71.2
940180107,68.5
920020301,64.8
940810104,21.5
770530201,65.3
920020302,47.2
920020303,54.7
920020304,53.6
920020305,57.3
920020307,36.0
920020403,65.6
940190102,47.8
940190103,49.6
940810307,41.2
940190105,51.4
940190106,28.3
940190107,62.4
940190108,54.6
920020404,43.5
920020405,52.4
920020407,45.4
920070116,70.8
920090101,72.0
920090102,65.3
751208025,89.4
751103703,93.8
920090103,73.4
920070106,78.8
920090104,72.5
920090109,73.0
920090110,75.5
920090111,79.1
920090112,68.4
920120101,74.8
920120102,73.1
920120105,82.7
920120201,74.1
920120303,83.4
780050105,72.5
920120305,84.1
920120401,57.7
920120402,62.9
920120403,81.6
920120404,86.5
920120405,59.3
920120406,87.6
751207803,85.8
920120501,80.5
920120502,85.8
920120504,85.5
920120506,76.5
920120603,76.7
920120604,83.1
940210102,73.3
940210105,31.6
920250212,72.7
940410107,80.0
940210106,56.5
940210108,49.5
940210109,33.6
920190108,50.2
920190109,40.6
930590104,50.7
920190113,45.9
920190114,30.0
780290104,5.5
920200101,78.7
920200105,66.2
920200106,43.4
920200107,56.3
920200108,64.3
920200109,68.5
920200111,57.1
920200112,61.0
751103706,96.9
751208017,64.3
920220101,49.3
920220102,61.0
920220103,53.2
940220106,49.6
940220109,75.8
940220112,40.9
940220205,63.8
940220113,55.5
940220114,36.3
940220201,43.7
940220202,75.6
751031203,92.7
771080304,37.1
771080501,77.9
920020103,58.6
770580101,38.3
940280101,46.9
920220104,60.8
920220107,64.9
920260501,77.7
920230502,49.7
751041403,95.8
920400204,76.5
771220301,24.9
771220402,58.1
920500704,35.0
920600110,67.0
920620301,81.5
751041504,94.6
920120203,65.0
940280103,59.4
920120204,80.6
920490109,85.3
771520302,22.7
920780106,61.5
771520101,68.5
771520202,39.5
920320111,48.7
920330105,50.7
920330106,43.3
940280211,36.8
920230103,62.8
920230104,61.5
920230105,45.8
920230201,46.2
920230202,43.8
952770402,35.9
920350108,75.7
920350109,68.4
940330110,74.3
940330111,39.6
940330112,44.8
940330113,66.2
940330116,71.1
940330117,76.2
940330118,76.9
940380102,25.2
920330103,35.0
940380103,29.0
940150103,54.0
940380104,63.8
940380105,57.2
930510105,49.3
940380106,46.7
940380108,53.7
930310101,13.9
955390104,21.6
940380109,39.9
940380110,34.8
786880103,33.9
786880104,35.1
786880105,39.8
772880202,27.8
940280402,18.6
910270111,71.4
770580104,80.8
910270113,51.2
781720105,58.0
930510405,45.1
930660703,38.8
930661103,85.1
751124609,85.6
940110102,39.5
940110103,41.6
920480101,51.4
920480102,54.3
920480103,63.5
940020102,65.4
920480104,39.1
940110106,17.0
940110107,47.3
940110108,35.3
940020202,55.2
940150101,39.9
940150102,41.2
751197402,92.4
940280205,19.6
940280209,62.5
940150104,47.5
920490116,83.9
940370106,76.3
940150105,38.0
955740104,45.0
920230102,58.2
