iris_code,nom_iris,commune,dept,type_iris,centroid_lon,centroid_lat,sitescore,score_concurrence,score_revenu,score_densite,score_accessibilite,score_potentiel,score_foncier,nb_concurrents_500m,nb_concurrents_1km,nb_concurrents_2km,revenu_median,densite_pop,pop_totale,potentiel_ca,prix_m2_median,prix_m2_moyen,nb_transactions,ca_potentiel_an,ca_potentiel_m2,part_marche_pct,rf_score,score_final
920350109,Chedal Anglay,La Garenne-Colombes,92,H,2.24265411727247,48.90529889310459,29.6,10.0,61.0,2.0,65.0,3.0,50.0,18,40,126,48443,2526,497,378000.0,6550.0,7283.0,360,54896.0,46.0,5.0,68.4,49.0
940171201,Bois l'Abbé 1,Champigny-sur-Marne,94,H,2.547710428816908,48.80634989474631,28.5,10.0,33.0,4.0,80.0,3.0,70.0,8,13,41,25891,5034,402,304500.0,4167.0,6827.0,745,38454.0,32.0,5.0,20.6,24.6
940330110,Bois Cadet 1,Fontenay-sous-Bois,94,H,2.4874127787963074,48.85032848204117,22.1,10.0,22.0,3.0,65.0,6.0,50.0,13,27,80,17353,4610,917,696500.0,6272.0,9684.0,606,77403.0,65.0,5.0,74.3,48.2
940330111,Bois Cadet 2,Fontenay-sous-Bois,94,H,2.483350905769679,48.84621043009668,35.9,10.0,50.0,9.0,95.0,38.0,50.0,18,51,84,39988,12215,5679,4320750.0,6272.0,9684.0,606,627496.0,523.0,5.0,39.6,37.8
751083204,Europe 4,Paris 8e Arrondissement,75,H,2.3162387192965954,48.87954648084924,31.4,10.0,43.0,24.0,95.0,23.0,10.0,37,127,375,34115,32690,3497,2660000.0,12304.0,14108.0,850,335920.0,280.0,5.0,91.8,61.6
751114309,Roquette 9,Paris 11e Arrondissement,75,H,2.3769454715027587,48.85473722880629,29.1,10.0,34.0,17.0,95.0,7.0,30.0,73,183,535,27041,22993,1057,803250.0,9754.0,10240.0,2196,101439.0,85.0,5.0,90.5,59.8
930710106,Beaudottes Anciennes 1,Sevran,93,H,2.5182123904188707,48.946307524236936,30.9,10.0,28.0,9.0,95.0,7.0,70.0,5,9,24,22575,12389,1065,810250.0,3333.0,7862.0,390,144071.0,120.0,8.0,9.3,20.1
952290101,Justice-Bourguignons,Ézanville,95,H,2.35060638409367,49.03658999839956,23.5,10.0,33.0,0.0,50.0,4.0,70.0,6,10,12,26238,674,657,498750.0,3091.0,3198.0,95,100776.0,84.0,8.0,37.6,30.6
751031102,Les Archives 2,Paris 3e Arrondissement,75,H,2.3664699239015805,48.85704760070241,31.0,10.0,51.0,18.0,95.0,10.0,10.0,48,164,598,40714,24584,1499,1139250.0,11800.0,13020.0,661,165452.0,138.0,5.0,96.2,63.6
952290102,Rue de Vaux,Ézanville,95,H,2.3516129999387263,49.03233540520708,31.0,20.0,48.0,2.0,65.0,3.0,70.0,3,7,12,38480,2142,415,315000.0,3091.0,3198.0,95,73195.0,61.0,8.0,38.5,34.8
751031103,Les Archives 3,Paris 3e Arrondissement,75,H,2.360823321055314,48.8588120324579,27.2,10.0,38.0,10.0,95.0,11.0,10.0,66,170,635,30095,13720,1605,1219750.0,11800.0,13020.0,661,154037.0,128.0,5.0,92.7,60.0
751031104,Les Archives 4,Paris 3e Arrondissement,75,H,2.361984940478433,48.86052987080235,29.1,10.0,39.0,17.0,95.0,18.0,10.0,73,200,641,31389,23719,2703,2056250.0,11800.0,13020.0,661,259675.0,216.0,5.0,97.4,63.2
940460402,Planètes 2,Maisons-Alfort,94,H,2.452578299515784,48.807004284556285,21.2,10.0,31.0,1.0,50.0,3.0,50.0,11,31,89,24316,1673,488,371000.0,5666.0,6394.0,616,41230.0,34.0,5.0,71.4,46.3
920120706,Les Princes Marmottan 7,Boulogne-Billancourt,92,H,2.2382132778105785,48.843706368594944,29.3,10.0,42.0,8.0,95.0,5.0,30.0,26,54,145,33799,10835,758,575750.0,8267.0,9198.0,1514,72709.0,61.0,5.0,72.6,50.9
751093306,Saint-Georges 6,Paris 9e Arrondissement,75,H,2.330039968257788,48.88307082510087,31.7,10.0,46.0,25.0,95.0,18.0,10.0,64,174,534,36806,34333,2746,2087750.0,10629.0,11642.0,1045,303201.0,253.0,5.0,97.8,64.8
940680801,Saint-Maur Créteil 1,Saint-Maur-des-Fossés,94,H,2.4704639186416597,48.80261945575506,27.9,10.0,24.0,7.0,95.0,9.0,50.0,10,28,82,19448,10282,1388,1055250.0,6060.0,8040.0,1302,117271.0,98.0,5.0,73.9,50.9
751051801,Jardin des Plantes 1,Paris 5e Arrondissement,75,H,2.358920884667259,48.83958872899503,28.0,10.0,40.0,15.0,95.0,6.0,10.0,22,75,347,31833,21208,848,644000.0,11882.0,12924.0,803,81328.0,68.0,5.0,84.5,56.2
784900102,Chevalier Les Petits Prés,Plaisir,78,H,1.9431868168493815,48.82425498886246,25.5,10.0,28.0,2.0,65.0,10.0,70.0,7,12,16,22202,2238,1501,1141000.0,3280.0,3505.0,323,126801.0,106.0,5.0,39.7,32.6
920510301,Plaine des Sablons 1,Neuilly-sur-Seine,92,H,2.278740916239212,48.88025041201639,29.0,10.0,63.0,7.0,80.0,4.0,10.0,18,70,205,50143,9455,624,474250.0,10530.0,11566.0,894,68875.0,57.0,5.0,84.5,56.8
751093301,Saint-Georges 1,Paris 9e Arrondissement,75,H,2.3385188887888564,48.87868046404194,29.9,10.0,54.0,10.0,95.0,4.0,10.0,51,158,647,42651,14071,633,481250.0,10629.0,11642.0,1045,69891.0,58.0,5.0,91.4,60.6
